dim_1,dim_2,dim_3,value
1,1,1,2259375028.9123854637145996
1,1,2,46084515.5809498280286789
1,1,3,3157580.7252761335112154
1,1,4,4011293.5019849464297295
1,1,5,3534364.5987789300270379
1,1,6,7516422.4577691415324807
1,1,7,13898916.1916533652693033
1,1,8,10780270.0615080762654543
1,1,9,15116098.8211558200418949
1,1,10,18148499.8024100996553898
1,1,11,16225229.7594617158174515
1,1,12,27362348.2649227641522884
1,1,13,28448941.1445450522005558
1,1,14,28940119.4222488887608051
1,1,15,2910826.9851806508377194
1,1,16,0
1,2,1,51496929.2705113142728806
1,2,2,1041879414.0295560359954834
1,2,3,44850265.3838303461670876
1,2,4,9938514.4418920446187258
1,2,5,11222930.3350308183580637
1,2,6,16206801.0942284092307091
1,2,7,21282855.9855479598045349
1,2,8,23879386.804345291107893
1,2,9,34637700.6622401550412178
1,2,10,38705655.9256959483027458
1,2,11,27546455.2337150871753693
1,2,12,54511018.5776147246360779
1,2,13,31989588.1519243009388447
1,2,14,78030448.1426537930965424
1,2,15,7594753.1722987815737724
1,2,16,0
1,3,1,1682748.4436443657614291
1,3,2,52178194.9108380004763603
1,3,3,392719860.6848195791244507
1,3,4,26220315.261334951967001
1,3,5,16910219.5647984594106674
1,3,6,37863666.7419188767671585
1,3,7,33719757.0819578468799591
1,3,8,164586504.7061421871185303
1,3,9,36892534.2964020967483521
1,3,10,112651358.2592055797576904
1,3,11,118434972.5138532519340515
1,3,12,127734009.7947420477867126
1,3,13,219663873.4794386327266693
1,3,14,255967232.153505802154541
1,3,15,4202644.8846714431419969
1,3,16,0
1,4,1,1291805.3046170889865607
1,4,2,6774086.1814252240583301
1,4,3,28970262.5199023373425007
1,4,4,131869079.9635803401470184
1,4,5,29471134.3450886160135269
1,4,6,63146089.6233086436986923
1,4,7,86209237.4194482713937759
1,4,8,427880416.3137367367744446
1,4,9,89682956.5942135006189346
1,4,10,103133974.1991071999073029
1,4,11,83008291.845073789358139
1,4,12,182095975.8736316561698914
1,4,13,121946518.9602267295122147
1,4,14,188322990.1040116846561432
1,4,15,22070881.373726200312376
1,4,16,0
1,5,1,2445484.9287442583590746
1,5,2,8731679.6253633834421635
1,5,3,15584819.2943354267627001
1,5,4,34651548.441186711192131
1,5,5,41497857.8536095917224884
1,5,6,88345036.3936122804880142
1,5,7,86352483.7992441356182098
1,5,8,80380810.0235035419464111
1,5,9,256085554.3467779159545898
1,5,10,146164814.5974275469779968
1,5,11,218090315.1286077499389648
1,5,12,387269235.6965247392654419
1,5,13,454753864.6162497997283936
1,5,14,133334117.8311558365821838
1,5,15,31475480.2850384041666985
1,5,16,0
1,6,1,5210174.3081348976120353
1,6,2,16141724.5208860281854868
1,6,3,19312368.0439794398844242
1,6,4,28665519.9954564459621906
1,6,5,61412064.3721718788146973
1,6,6,18238565.3628597147762775
1,6,7,98957423.0157050639390945
1,6,8,188620418.3824163675308228
1,6,9,123419864.2866706550121307
1,6,10,206725212.3004714548587799
1,6,11,257655565.6522132158279419
1,6,12,263284779.0191840529441833
1,6,13,107820790.4652321040630341
1,6,14,257328831.9405450224876404
1,6,15,43614344.9278610125184059
1,6,16,0
1,7,1,3146463.2525993911549449
1,7,2,10968109.4464306551963091
1,7,3,45997419.4107334688305855
1,7,4,26105742.841751080006361
1,7,5,59575092.4309715405106544
1,7,6,180490528.5065848231315613
1,7,7,9960548.1191213577985764
1,7,8,199600673.5979102551937103
1,7,9,534201150.1961052417755127
1,7,10,238045569.9321362972259521
1,7,11,192242563.0142168402671814
1,7,12,296830261.7265812754631042
1,7,13,750125673.1957623958587646
1,7,14,154377290.8916770219802856
1,7,15,59088769.7743173614144325
1,7,16,0
1,8,1,3606857.1648578075692058
1,8,2,12063947.2184996716678143
1,8,3,58910505.9988445118069649
1,8,4,73580105.7785929590463638
1,8,5,78559266.6085966527462006
1,8,6,92481339.7041933983564377
1,8,7,88367571.9466846436262131
1,8,8,10614374.2128307446837425
1,8,9,424180544.3343505859375
1,8,10,376676933.4272775650024414
1,8,11,653627537.6215041875839233
1,8,12,774286314.3054157495498657
1,8,13,266827229.2526367604732513
